Ref,Val,Package,PosX,PosY,Rot,Side
"U5","SN74HC165N","DIP-16_L19.8-W6.5-P2.54-LS7.6-BL",196.431000,-96.178000,90.000000,top
"U6","SN74HC165N","DIP-16_L19.8-W6.5-P2.54-LS7.6-BL",176.238000,-96.178000,90.000000,top
"U7","STM32F103C8T6","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL",114.897000,-98.718000,45.000000,top
"U8","AMS1117-3.3","SOT-223",88.227000,-107.227000,180.000000,top
"X2","8MHz","CRYSTAL-SMD_L11.5-W4.8-LS12.7",130.518000,-99.480000,180.000000,top
"X3","32.768kHz","FC-135R_L3.2-W1.5",102.197000,-106.973000,90.000000,top
"mouse-bite-1mm-slot-1","VAL**","mouse-bite-1mm-slot",162.714000,-113.514000,90.000000,top
"mouse-bite-1mm-slot-2","VAL**","mouse-bite-1mm-slot",162.714000,-110.466000,90.000000,top
"mouse-bite-1mm-slot-3","VAL**","mouse-bite-1mm-slot",162.714000,-107.418000,90.000000,top
"mouse-bite-1mm-slot-4","VAL**","mouse-bite-1mm-slot",162.714000,-104.370000,90.000000,top
"mouse-bite-1mm-slot-5","VAL**","mouse-bite-1mm-slot",162.714000,-101.322000,90.000000,top
"mouse-bite-1mm-slot-6","VAL**","mouse-bite-1mm-slot",162.714000,-98.274000,90.000000,top
"mouse-bite-1mm-slot-7","VAL**","mouse-bite-1mm-slot",162.702000,-95.226000,90.000000,top
"mouse-bite-1mm-slot-8","VAL**","mouse-bite-1mm-slot",162.702000,-92.298000,90.000000,top
"mouse-bite-1mm-slot-9","VAL**","mouse-bite-1mm-slot",162.702000,-89.250000,90.000000,top
"mouse-bite-1mm-slot-10","VAL**","mouse-bite-1mm-slot",162.714000,-86.082000,90.000000,top
"mouse-bite-1mm-slot-11","VAL**","mouse-bite-1mm-slot",162.714000,-83.034000,90.000000,top
